82;2;5;Rey Plata;red;1;2015-03-02 10:39:21;2015-03-02 10:39:21
83;2;8;Diego-alumino;red;1;2014-06-05 11:41:05;2014-06-05 11:41:05
85;2;8;AUTOFESA;red;1;2014-07-03 16:55:16;2014-07-03 16:55:16
86;2;4;QualityConta;red;1;2016-04-01 10:08:49;2016-04-01 10:08:49
87;2;4;DEYSA;red;1;2014-10-28 16:24:18;2014-10-28 16:24:18
89;2;8;AGC CHAMARTIN;red;1;2014-12-02 10:48:21;2014-12-02 10:48:21
90;2;4;ALVAMEDIA PUBLICIDAD;red;1;2015-03-02 10:39:52;2015-03-02 10:39:52
91;2;4;REPSOL;red;1;2015-05-19 09:58:53;2015-05-19 09:58:53
92;2;4;BANCO SANTANDER;red;1;2015-09-01 13:00:05;2015-09-01 13:00:05
93;2;4;NEUMATICOS SALAMANCA;red;1;2015-09-01 11:55:14;2015-09-01 11:55:14
94;2;8;DOMOCAM;red;1;2015-09-01 12:08:36;2015-09-01 12:08:36
95;2;4;CEPSA;red;1;2015-09-01 12:30:34;2015-09-01 12:30:34
96;2;8;PRO-AIR;red;1;2015-10-02 10:43:03;2015-10-02 10:43:03
97;2;4;COMERCIO VIRTUAL;red;1;2015-10-14 10:22:27;2015-10-14 10:22:27
101;2;4;CASTILLO;red;1;2016-05-03 11:09:12;2016-05-03 11:09:12
103;2;4;Markamania;red;1;2016-06-02 10:45:46;2016-06-02 10:45:46
104;2;4;FNMT-RCM;red;1;2016-07-01 10:30:56;2016-07-01 10:30:56
109;2;8;Media Markt;red;1;2016-12-02 10:18:11;2016-12-02 10:18:11
110;2;8;EPIDOR;red;1;2018-07-02 10:02:38;2018-07-02 10:02:38
111;2;5;Edelweiss;red;1;2019-01-03 16:26:45;2019-01-03 16:26:45
112;2;5;Maravillas;red;1;2019-02-01 16:09:25;2019-02-01 16:09:25
113;2;5;GD Porlier;red;1;2018-03-13 13:47:48;2018-03-13 13:47:48
116;2;4;PAGATELIA SL;red;1;2018-11-05 10:35:50;2018-11-05 10:35:50
117;2;5;SIGLO XXI;red;1;2018-07-03 10:46:43;2018-07-03 10:46:43
120;2;2;Mod. 347;red;1;2018-02-07 09:51:12;2018-02-07 09:51:12
121;2;2;Mod. 200;red;1;2018-02-07 09:51:39;2018-02-07 09:51:39
122;2;2;Mod. 303;red;1;2018-02-07 09:53:23;2018-02-07 09:53:23
123;2;2;Mod. 390;red;1;2018-02-07 09:54:09;2018-02-07 09:54:09
124;2;2;Mod. 202;red;1;2018-02-07 09:57:58;2018-02-07 09:57:58
125;2;2;Mod. 111;red;1;2018-02-07 10:00:00;2018-02-07 10:00:00
126;2;2;Mod. 190;red;1;2018-02-07 11:48:54;2018-02-07 11:48:54
127;2;5;Bravo Murillo Oro, S.L.U.;red;1;2019-02-05 11:52:49;2019-02-05 11:52:49
130;2;12;Atico34;red;1;2018-12-10 11:06:34;2018-12-10 11:06:34
